title,header,link
Socar,"Azərbaycan Respublikası Dövlət Neft Şirkəti (SOCAR) Azərbaycan ərazisindəki neft və qaz yataqlarının axtarışı, kəşfiyyatı və işlənməsi, neftin, ...",/url?q=http://www.socar.az/&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAAegQIBxAB&usg=AOvVaw0oT2kFDapZJGFAwNP4q1mv
KARYERA · SOCAR,SOCAR həyata keçirdiyi sosial və ictimai proqramlardan qürur duyur. Saytımızın bu bölməsində həyata keçirdiyimiz öhdəliklər haqda ətraflı məlumat əldə etmək ...,/url?q=http://85.132.26.15/socar/az/careers/career-at-socar/career-development&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAKegQIAhAB&usg=AOvVaw3kVOKOy83eVfF9Q_yJeSwy
Azərbaycan Respublikası Dövlət Neft Şirkəti — Vikipediya,"SOCAR) — dünyanın ən böyük milli neft şirkətlərindən biridir. Neftin çıxarılması, daşınması, emalı və istehlakında olduğu üçün inteqrasiya olunmuş şirkətdir.",/url?q=https://az.wikipedia.org/wiki/Az%25C9%2599rbaycan_Respublikas%25C4%25B1_D%25C3%25B6vl%25C9%2599t_Neft_%25C5%259Eirk%25C9%2599ti&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAPegQIBBAB&usg=AOvVaw0D49ONaGvmugkeCCJXxUZN
SOCAR - Home | Facebook,"SOCAR, Baku, Azerbaijan. 98K likes. Azərbaycan Respublikası Dövlət Neft Şirkətinin rəsmi səhifəsi. Official page of the State Oil Company of Azerbaijan...",/url?q=https://www.facebook.com/SOCARofficial/&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAQegQIAxAB&usg=AOvVaw0FA-yYVq7-T6yDg1Yvvm5Z
CV göndər - SOCAR AQŞ ::,: ,/url?q=http://www.socar-aqs.com/az/career/apply-cv&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAbegQIBRAB&usg=AOvVaw3kgbG0dc_ILBRoDLiQW8fK
SOCAR PETROLEUM QSC,: ,/url?q=http://socar-petroleum.az/&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAcegQIARAB&usg=AOvVaw2vi4xBgB1IWTEavxm8b2GR
SOCAR-ın özəlləşdirilməsi: bunun vaxtı gəlib çatıbmı? - BBC News ...,: ,/url?q=https://www.bbc.com/azeri/azerbaijan-53911535&sa=U&ved=2ahUKEwjHkOWHsoHsAhUIbKwKHS3uCJsQFjAdegQIBhAB&usg=AOvVaw3F5tteWvOTUAMWAcq600ix
Gilan Holdinq,Gilan Tikinti. GILAN HOLDING-in tikinti sektoru əsas diqqətini Azərbaycanda yüksək səviyyəli tikinti işlərinin həyata keçirilməsinə yönəltmişdir. Inspection ...,/url?q=https://www.gilanholding.com/&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjAAegQICBAB&usg=AOvVaw1MdafJQ3HgzC9EH-HKV0bn
Gilan Holding — Vikipediya,"Gilan Holdinq 1987-ci ildən Azərbaycanda irimiqyaslı layihələrə sərmayələr yatırır. Şirkət Azərbaycan iqtisadiyyatının dünya bazarında iştirakını təmin etməklə ...

Yaranma tarixi: ",/url?q=https://az.wikipedia.org/wiki/Gilan_Holding&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjAHegQIBxAB&usg=AOvVaw1ij-tOBNdtLkTeT1SWqK92
Gilan Holdinq-də ən son vakansiyalar | Edumap.az,"
Sənaye: ",/url?q=https://edumap.az/gilan-holdinq-de-en-son-vakansiyalar/&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjAQegQIAhAB&usg=AOvVaw25YkWVdDXa8k2kKsDAUBvy
"""Gilan Holding"" işçilər axtarır - VAKANSİYALAR - FED.az",: ,/url?q=https://fed.az/az/biznes/gilan-holding-isciler-axtarir-vakansiyalar-65329&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjARegQIAxAB&usg=AOvVaw06d3zyfnScZZX98u9o9emi
"""Gilan Holding"" Koronavirusla Mübarizəyə Dəstək Fonduna 1 milyon ...",: ,/url?q=https://apa.az/az/maliyye_xeberleri/Gilan-Holding-Koronavirusla-Mubarizy-Dstk-Fonduna-1-milyon-manat-vsait-ayirib-577715&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjAWegQIBRAB&usg=AOvVaw3GzfBBVoXFFPMgODpY6XCI
GİLAN MMC - Azexport,Təhlükəsizlik əməkdaşı (Qadın) Azərbaycan / Bakı Digər 28-03-2018 Ətraflı Baş Nəzarət Direktoru (Gilan Kənd Təsərrüfatı Qrupu) Azərbaycan / Bakı Kə.,/url?q=https://azexport.az/index.php%3Froute%3Dproduct/seller/info%26seller_id%3D21&sa=U&ved=2ahUKEwjv2pKIsoHsAhUGlKwKHYH-AuMQFjAXegQIBhAB&usg=AOvVaw0ngWdRFiiuIorDNqVe4pf8
