title,prices,link
"Сборники тестов,учебные пособия по все предметам.Есть еще разные",200 AZN,lalafo.az/baku/ads/sborniki-testovucebnye-posobia-po-vse-predmetamest-ese-raznye-id-67881364
İşlənmiş Xiaomi Redmi 7 16 GB qırmızı,400 AZN,lalafo.az/baku/ads/islnmis-xiaomi-redmi-7-16-gb-qirmizi-id-77747412
Yeni Xiaomi Redmi Note 7 64 GB qara,207 AZN,lalafo.az/dzhejranbatan/ads/yeni-xiaomi-redmi-note-7-64-gb-qara-id-76843966
İşlənmiş Xiaomi Redmi Note 4 64 GB qara,180 AZN,lalafo.az/baku/ads/islnmis-xiaomi-redmi-note-4-64-gb-qara-id-77211708
"Qapı tipli metal detektorlarin satisi
Qapı tipli metal detektor insanl",27 000 AZN,lalafo.az/baku/ads/qapi-tipli-metal-detektorlarin-satisi-qapi-tipli-metal-detektor-insanl-id-77696030
İşlənmiş Xiaomi Redmi S2 32 GB çəhrayı,90 AZN,lalafo.az/khyrdalan/ads/islnmis-xiaomi-redmi-s2-32-gb-chrayi-id-76959610
"Satılır Ev 68 kv. m, 2 otaqlı",299 AZN,lalafo.az/baku/ads/satilir-ev-68-kv-m-2-otaqli-id-77802012
Boyuru az qaralıp 160 manata almisam iran yekelerden alacagim icin,220 AZN,lalafo.az/baku/ads/boyuru-az-qaralip-160-manata-almisam-iran-yekelerden-alacagim-icin-id-71180232
"Xiaomi Redmi 9C 64GB
 Qiymət - 299 AZN
 1 il Rəsmi zəmanətli
 Qeydiyy",259 AZN,lalafo.az/baku/ads/xiaomi-redmi-9c-64gb-qiymt-299-azn-1-il-rsmi-zmantli-qeydiyy-id-77753301
İşlənmiş Xiaomi Mi A2 Lite 32 GB qara,680 AZN,lalafo.az/saraj/ads/islnmis-xiaomi-mi-a2-lite-32-gb-qara-id-77034882
Salon kreslosu. Temiz deridir. Turkiyeden sifarisle getirilib. Qiymet,27 AZN,lalafo.az/dzhejranbatan/ads/salon-kreslosu-temiz-deridir-turkiyeden-sifarisle-getirilib-qiymet-id-77802290
"Xiaomi redmi note 8 blue 64gb telefon yaxwi veziyyetdedi, acilmiyib",290 AZN,lalafo.az/baku/ads/xiaomi-redmi-note-8-blue-64gb-telefon-yaxwi-veziyyetdedi-acilmiyib-id-77802281
"Mənzil kirayə verilir: 3 otaqlı, 72 kv. m, Bakı",1 100 USD,lalafo.az/baku/ads/mnzil-kiray-verilir-3-otaqli-72-kv-m-baki-id-77802122
Philips EpilyatorÇatdırılma var Memar Əcəmi və 20 Yanvar metro,70 AZN,lalafo.az/baku/ads/philips-epilyatorcatdirilma-var-memar-cmi-v-20-yanvar-metro-id-77802263
İşlənmiş Xiaomi Redmi Note 8 64 GB qara,58 AZN,lalafo.az/mingyachevir/ads/islnmis-xiaomi-redmi-note-8-64-gb-qara-id-77315476
"Cube aim sl) Bu velosiped mürəkkəb profilli, mexaniki şəkildə qurulmuş",370 AZN,lalafo.az/baku/ads/cube-aim-sl-bu-velosiped-murkkb-profilli-mexaniki-skild-qurulmus-id-77802175
Qızdırıcı işlək vəziyyətdədir Qarayevde metroya yaxın 32 nömrəli,220 AZN,lalafo.az/govsany/ads/qizdirici-islk-vziyytddir-qarayevde-metroya-yaxin-32-nomrli-id-77802220
"Продаю новую куртку BERSHKA - 68 манат, размер S Заказывал для себя",470 AZN,lalafo.az/baku/ads/prodau-novuu-kurtku-bershka-68-manat-razmer-s-zakazyval-dla-seba-id-75276758
Yeni Xiaomi Redmi Note 9 64 GB göy,250 AZN,lalafo.az/baku/ads/yeni-xiaomi-redmi-note-9-64-gb-goy-id-77275302
Yeni Xiaomi Mi 8 Lite 64 GB qara,230 AZN,lalafo.az/dyubendi/ads/yeni-xiaomi-mi-8-lite-64-gb-qara-id-77339489
"Mənzil kirayə verilir: 3 otaqlı, 68 kv. m, Bakı",35 AZN,lalafo.az/baku/ads/mnzil-kiray-verilir-3-otaqli-68-kv-m-baki-id-77802224
Soyuducu,499 AZN,lalafo.az/baku/ads/paramcondition-paramtype-paramcolor-soyuducu-parambrand4-id-77802026
Real alıcıya endirim olacaq maraqlanmaq isteyen elaqe nomresine muraci,150 AZN,lalafo.az/khyrdalan/ads/real-aliciya-endirim-olacaq-maraqlanmaq-isteyen-elaqe-nomresine-muraci-id-77557528
